,index,timestamp_actual,timestamp_pred
519,52780,2023-10-16 00:50:00,
520,52781,2023-10-16 01:00:00,
521,52782,2023-10-16 01:10:00,
522,52783,2023-10-16 01:20:00,
523,52784,2023-10-16 01:30:00,
524,52785,2023-10-16 01:40:00,
525,52786,2023-10-16 01:50:00,
526,52787,2023-10-16 02:00:00,
527,52788,2023-10-16 02:10:00,
528,52789,2023-10-16 02:20:00,
529,52790,2023-10-16 02:30:00,
530,52791,2023-10-16 02:40:00,
531,52792,2023-10-16 02:50:00,
532,52793,2023-10-16 03:00:00,
533,52794,2023-10-16 03:10:00,
534,52795,2023-10-16 03:20:00,
535,52796,2023-10-16 03:30:00,
536,52797,2023-10-16 03:40:00,
537,52798,2023-10-16 03:50:00,
538,52799,2023-10-16 04:00:00,
539,52800,2023-10-16 04:10:00,
540,52801,2023-10-16 04:20:00,
541,52802,2023-10-16 04:30:00,
542,52803,2023-10-16 04:40:00,
543,52804,2023-10-16 04:50:00,
544,52805,2023-10-16 05:00:00,
545,52806,2023-10-16 05:10:00,
546,52807,2023-10-16 05:20:00,
547,52808,2023-10-16 05:30:00,
548,52809,2023-10-16 05:40:00,
549,52810,2023-10-16 05:50:00,
550,52811,2023-10-16 06:00:00,
551,52812,2023-10-16 06:10:00,
552,52813,2023-10-16 06:20:00,
553,52814,2023-10-16 06:30:00,
554,52815,2023-10-16 06:40:00,
555,52816,2023-10-16 06:50:00,
556,52817,2023-10-16 07:00:00,
557,52818,2023-10-16 07:10:00,
558,52819,2023-10-16 07:20:00,
559,52820,2023-10-16 07:30:00,
560,52821,2023-10-16 07:40:00,
561,52822,2023-10-16 07:50:00,
562,52823,2023-10-16 08:00:00,
563,52824,2023-10-16 08:10:00,
564,52825,2023-10-16 08:20:00,
565,52826,2023-10-16 08:30:00,
566,52827,2023-10-16 08:40:00,
567,52828,2023-10-16 08:50:00,
568,52829,2023-10-16 09:00:00,
569,52830,2023-10-16 09:10:00,
570,52831,2023-10-16 09:20:00,
571,52832,2023-10-16 09:30:00,
572,52833,2023-10-16 09:40:00,
573,52834,2023-10-16 09:50:00,
574,52835,2023-10-16 10:00:00,
575,52836,2023-10-16 10:10:00,
576,52837,2023-10-16 10:20:00,
577,52838,2023-10-16 10:30:00,
578,52839,2023-10-16 10:40:00,
579,52840,2023-10-16 10:50:00,
580,52841,2023-10-16 11:00:00,
581,52842,2023-10-16 11:10:00,
582,52843,2023-10-16 11:20:00,
583,52844,2023-10-16 11:30:00,
584,52845,2023-10-16 11:40:00,
585,52846,2023-10-16 11:50:00,
586,52847,2023-10-16 12:00:00,
587,52848,2023-10-16 12:10:00,
588,52849,2023-10-16 12:20:00,
589,52850,2023-10-16 12:30:00,
590,52851,2023-10-16 12:40:00,
